,lat,lon,elevation,distance
0,33.690805,-111.718447,565.6,0.0
1,33.690798,-111.718442,565.4,0.9054531123792887
2,33.690735,-111.718455,565.2,8.013234424755884
3,33.690639,-111.718477,566.6,18.880268847711452
4,33.690585,-111.718488,566.6,24.97043053328033
5,33.690532,-111.718495,566.4,30.89924007393785
6,33.690479,-111.718496,566.6,36.793297370485035
7,33.690427,-111.718495,566.6,42.57617370558629
8,33.690328,-111.718501,566.8,53.59845903657779
9,33.690247,-111.718554,566.8,63.85355194574066
10,33.690147,-111.718691,566.8,80.71486076947683
11,33.690112,-111.71873,566.8,86.02201524279837
12,33.690082,-111.718767,566.8,90.80180506998256
13,33.690028,-111.718849,567.4,100.47709359358544
14,33.690002,-111.718886,568.0,104.95780857921574
15,33.689977,-111.718925,568.2,109.51273365901683
16,33.689891,-111.719055,569.0,124.87858836020101
17,33.689828,-111.719146,569.2,135.83116556164683
18,33.689756,-111.719227,569.2,146.7974117814524
19,33.689645,-111.71934,569.0,162.97280129525194
20,33.689613,-111.719375,569.0,167.78393978165371
21,33.689552,-111.719449,569.0,177.42148215637607
22,33.689521,-111.719489,569.2,182.47896480232535
23,33.689384,-111.719671,569.4,205.18598294102688
24,33.689353,-111.71971,569.4,210.17616733395917
25,33.689325,-111.719748,569.6,214.87237231907008
26,33.689262,-111.719869,569.8,228.0785041181844
27,33.68924,-111.719908,570.2,232.43788455748364
28,33.689161,-111.72004,571.2,247.4817090251019
29,33.689127,-111.720086,571.2,253.17436274112862
30,33.689092,-111.720129,571.4,258.73978377109495
31,33.68906,-111.720171,571.4,264.00866288464204
32,33.689013,-111.720257,571.4,273.52829515385633
33,33.688992,-111.7203,571.2,278.141355709679
34,33.688965,-111.720343,571.2,283.12545637114835
35,33.688873,-111.720526,571.4,302.9073234598202
36,33.688847,-111.720576,571.4,308.36247265935407
37,33.688802,-111.720675,571.8,318.7997070295682
38,33.688748,-111.720761,572.0,328.76792438945284
39,33.688717,-111.720798,571.8,333.6260089955099
40,33.68869,-111.720836,571.8,338.2492639936197
41,33.688628,-111.720918,571.8,348.5004670648486
42,33.68855,-111.721047,572.2,363.2542778819103
43,33.688528,-111.721089,572.2,367.8460690067987
44,33.688507,-111.721129,572.2,372.22202739209945
45,33.688483,-111.721168,572.4,376.7100050944913
46,33.688423,-111.721244,572.4,386.4030667107579
47,33.688396,-111.72128,572.6,390.88722278158514
48,33.6883,-111.721374,573.4,404.65631700678676
49,33.688269,-111.721402,573.6,408.9683179791161
50,33.688236,-111.721433,573.8,413.6256946817807
51,33.68817,-111.721498,574.0,423.11390581554593
52,33.688134,-111.721528,574.2,427.98508759417047
53,33.688062,-111.721585,574.2,437.57200739646026
54,33.688023,-111.72161,574.2,442.48691484285007
55,33.687984,-111.721637,574.4,447.4915720428299
56,33.687854,-111.721728,574.0,464.2201439553214
57,33.687785,-111.721782,573.8,473.37593479663724
58,33.687737,-111.721847,573.8,481.41676480928066
59,33.68771,-111.721887,574.0,486.18228551366315
60,33.687657,-111.72196,574.6,495.1460827378528
61,33.687599,-111.722026,574.8,504.02767303782827
62,33.687448,-111.72221,575.0,527.9387705885708
63,33.687413,-111.722241,574.8,532.7733193463368
64,33.687289,-111.722338,574.6,549.2250377917765
65,33.687254,-111.722368,574.6,554.0052787410195
66,33.68722,-111.722397,574.6,558.6412796126449
67,33.687191,-111.722424,574.8,562.7203698144218
68,33.687087,-111.722527,574.8,577.7053876379186
69,33.687021,-111.722605,575.2,587.9981576634891
70,33.686964,-111.722682,575.2,597.5337231556921
71,33.68693,-111.722718,575.2,602.5723336011919
72,33.686864,-111.722787,575.2,612.2993939173889
73,33.686798,-111.722856,575.0,622.0264574522191
74,33.686766,-111.722888,575.0,626.655396264145
75,33.686706,-111.722948,575.2,635.3346590136189
76,33.686648,-111.723007,575.8,643.7840942489366
77,33.686619,-111.723039,576.0,648.1618145986628
